1,Slovakia_Austria,Russia_NordStream_Germany,Norway_Europe,Netherlands_Production,GB_Production,LNG_Total,Algeria_Italy,Libya_Italy,Spain_France,Denmark_Germany,Czech_Poland_Germany,Austria_Hungary_Export,Slovenia_Austria,MAB_Austria,TAP_Italy,Austria_Production,Italy_Production,Germany_Production,Total_Supply
2016-10-08,116.23569780443609,121.15551089113951,302.78169744744156,109.23906868673116,99.28,39.65348237642124,36.96777080591097,9.949226059901713,-9.05771789226681,1.6787255341857672,42.03016556313409,-7.407083238080143,-6.461720580764115,-11.56507893192768,0.0,2.311815787628293,15.917065333963185,14.617193952878564,877.3258196007332
2016-10-09,117.09551509580015,121.35841977190971,300.23922194723934,112.89579217243939,99.50000000000001,34.55915128863603,34.379037123249475,10.962543192296476,-8.316809568665922,2.3471793873682616,46.16255219259412,-7.1194471723288295,-6.434811517722904,-11.513715348757803,0.0,2.315452147498727,16.07771971303895,14.462703203783184,878.9705036283784
2016-10-10,120.6038750987947,121.49560144802183,321.94699182883426,124.13905325583369,102.95000000000002,58.284526717883345,46.65984258667528,11.76682417753935,-9.686353604868055,3.6039962675869464,47.0177331251234,-6.8651747083887456,-7.1449016914218655,-11.905805851787328,0.0,2.3618157358467577,16.024565222632884,14.598012154562026,955.8506017628685
2016-10-11,119.80387592729926,120.67869320312889,310.4933948132411,100.91125912945716,104.02000000000001,59.74811613194719,55.29287000967413,10.467216432545333,-10.305807508796454,3.002451436020434,56.584405035755765,-7.979809917673469,-7.191356188766659,-11.01544313751161,0.0,2.3645430057495833,16.091728789439795,14.238203436282278,937.204340597793
2016-10-12,121.01105649528652,121.29641983611882,311.7685674212374,124.43996203511209,104.47,63.20393979464471,60.53521003508568,10.694279833754898,-8.82008177473396,5.7799940140545365,53.38795380064769,-7.652446620337666,-7.18071983614564,-10.093898637346923,0.0,2.1836341021955015,16.087810611679405,14.773075609624385,975.8847567208775
2016-10-13,120.72769315238298,121.11369275262952,320.55255887507946,129.25659341049194,98.56,66.90247234867589,60.84220971714705,12.162814676529914,-9.778717145577073,1.932543453142047,56.72525943533702,-8.053537114046513,-7.11199263459444,-9.707899037100375,0.0,2.4181793138384817,16.21266502783075,14.085576321620495,986.8401125533873
2016-10-14,119.86114859525858,121.06051098952443,315.1625169229508,121.95341915570944,94.78000000000002,55.99560182599574,58.997357082280516,12.14826923704818,-9.480172000214457,0.2618179106712341,54.28585287075491,-7.2809015505760915,-6.869356522239745,-10.276807538829743,0.0,2.3809066251665354,16.27567405348569,14.00775822039321,953.263595877379
2016-10-15,120.17305736314505,120.31096631123125,312.5890692350112,116.02069802709669,102.06000000000002,61.91012346020341,48.088468379872296,12.160960132995994,-8.619536527879536,-0.7323628779053687,55.27887911507264,-8.195809693977237,-6.298902567565441,-12.21562371274829,0.0,2.3018157979845997,16.162228716427833,14.337712424136699,945.3317435831019
2016-10-16,115.15460801495611,120.34832990889997,312.8399880476132,111.33524833404272,104.02999999999999,55.28731277927012,45.8927797447063,12.149505599404126,-8.864263547159732,-0.6333629804328084,55.86556032566875,-8.137446118056774,-6.088175513073802,-12.273169107697903,0.0,2.293633988276124,16.183419603572787,14.362521489352734,929.7464905693421
2016-10-17,108.90261448971928,121.10223821903766,321.67536792359203,115.59078938141464,98.69,62.572987528566266,59.76598355899379,10.476261877723038,-9.998262372754514,2.120634167440236,53.40355378449186,-8.173264262780547,-6.583265909433365,-11.113624854013324,0.0,2.2663612892478704,16.289428584695607,13.860085646054893,950.8478890519954
